collectionName,dc.contributor.advisor,dc.contributor.author,dc.contributor.committeeMember,dc.contributor.editor,dc.contributor.illustrator,dc.contributor.other,dc.coverage.spatial,dc.creator,dc.creator.orcid,dc.date,dc.date.accessioned,dc.date.available,dc.date.copyright,dc.date.created,dc.date.issued,dc.date.submitted,dc.date.updated,dc.description,dc.description.abstract,dc.description.disclaimer,dc.description.provenance,dc.description.sponsorship,dc.description.uri,dc.format.extent,dc.format.medium,dc.format.mimetype,dc.identifier,dc.identifier.citation,dc.identifier.govdoc,dc.identifier.isbn,dc.identifier.ismn,dc.identifier.issn,dc.identifier.localbarcode,dc.identifier.localbibnumber,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.publisher.country,dc.relation,dc.relation.isformatof,dc.relation.ispartof,dc.relation.ispartofseries,dc.source,dc.source.uri,dc.subject,dc.subject.classification,dc.subject.ddc,dc.subject.lcsh,dc.subject.mesh,dc.subject.other,dc.title,dc.title.alternative,dc.type,dc.type.material,jhuthesis.advisor.externalmember,jhuthesis.advisor.primary,jhuthesis.advisor.secondary,jhuthesis.college.degreegranting,jhuthesis.date.defense,jhuthesis.date.submitted,jhuthesis.department.degreegranting,jhuthesis.department.primaryadvisor,local.embargo.lift,local.embargo.terms,thesis.degree.department,thesis.degree.discipline,thesis.degree.grantor,thesis.degree.level,thesis.degree.name
"Biomedical Engineering, Dept. of - Economic Health Care Technologies Design",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:17,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:11,dc.date.available:11,dc.date.copyright:0,dc.date.created:0,dc.date.issued:11,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:8,dc.description.disclaimer:0,dc.description.provenance:22,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:11,dc.identifier:0,dc.language.iso:11,dc.publisher.country:0,dc.publisher:10,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:45,dc.title.alternative:0,dc.title:11,dc.type.material:0,dc.type:11,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Biomedical Engineering, Dept. of - Faculty Research",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:12,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1,dc.date.available:1,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:4,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:1,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:6,dc.title.alternative:0,dc.title:1,dc.type.material:0,dc.type:1,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Biomedical Engineering, Dept. of - Instrumentation Student Projects",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:17,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:9,dc.date.available:9,dc.date.copyright:0,dc.date.created:0,dc.date.issued:9,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:3,dc.description.disclaimer:0,dc.description.provenance:18,dc.description.sponsorship:1,dc.description.uri:0,dc.description:3,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:9,dc.identifier:0,dc.language.iso:7,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:13,dc.title.alternative:0,dc.title:9,dc.type.material:0,dc.type:6,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Biostatistics, Dept. of - Faculty Research",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:26,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:7,dc.date.available:7,dc.date.copyright:0,dc.date.created:0,dc.date.issued:7,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:6,dc.description.disclaimer:0,dc.description.provenance:14,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:7,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:7,dc.identifier:0,dc.language.iso:7,dc.publisher.country:0,dc.publisher:7,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:33,dc.title.alternative:0,dc.title:7,dc.type.material:0,dc.type:7,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Bloomberg School of Public Health - Research Papers,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:1,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1,dc.date.available:1,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:3,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1,dc.identifier:0,dc.language.iso:1,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:1,dc.type.material:0,dc.type:1,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Carey Business School - Edward St. John Real Estate Program - Practicum Projects,collectionName:0,dc.contributor.advisor:1,dc.contributor.author:267,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:266,dc.date.available:266,dc.date.copyright:0,dc.date.created:0,dc.date.issued:266,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:831,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:266,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:277,dc.title.alternative:0,dc.title:266,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Carey Business School - Working Papers,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:17,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:11,dc.date.available:11,dc.date.copyright:0,dc.date.created:0,dc.date.issued:11,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:11,dc.description.disclaimer:0,dc.description.provenance:22,dc.description.sponsorship:1,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:1,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:11,dc.identifier:0,dc.language.iso:11,dc.publisher.country:0,dc.publisher:6,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:11,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:5,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:40,dc.title.alternative:1,dc.title:11,dc.type.material:0,dc.type:11,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Center for Inherited Disease Research - Research Papers, Posters and Presentations",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:9,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1,dc.date.available:1,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:3,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:1,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1,dc.identifier:0,dc.language.iso:1,dc.publisher.country:0,dc.publisher:1,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:1,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:4,dc.title.alternative:0,dc.title:1,dc.type.material:0,dc.type:1,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Cold-Formed Steel Research Consortium (CFSRC) - CFSRC Reports,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:38,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:20,dc.date.available:20,dc.date.copyright:0,dc.date.created:0,dc.date.issued:20,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:20,dc.description.disclaimer:0,dc.description.provenance:60,dc.description.sponsorship:15,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:19,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:22,dc.identifier:0,dc.language.iso:16,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:19,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:22,dc.title.alternative:0,dc.title:20,dc.type.material:0,dc.type:20,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Computer Science, Dept. of - Current Technical Reports",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:18,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:8,dc.date.available:8,dc.date.copyright:0,dc.date.created:0,dc.date.issued:8,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:8,dc.description.disclaimer:0,dc.description.provenance:24,dc.description.sponsorship:3,dc.description.uri:0,dc.description:1,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:8,dc.identifier:0,dc.language.iso:8,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:9,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:49,dc.title.alternative:0,dc.title:8,dc.type.material:0,dc.type:8,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Computer Science, Dept. of - Historic Technical Reports",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:23,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:9,dc.date.available:9,dc.date.copyright:0,dc.date.created:0,dc.date.issued:9,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:27,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:9,dc.format.medium:0,dc.format.mimetype:9,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:9,dc.identifier:0,dc.language.iso:9,dc.publisher.country:0,dc.publisher:9,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:18,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:22,dc.title.alternative:0,dc.title:9,dc.type.material:0,dc.type:9,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Data Conservancy - Research,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:30,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:13,dc.date.available:13,dc.date.copyright:0,dc.date.created:0,dc.date.issued:13,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:10,dc.description.disclaimer:0,dc.description.provenance:39,dc.description.sponsorship:2,dc.description.uri:0,dc.description:3,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:8,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:13,dc.identifier:0,dc.language.iso:13,dc.publisher.country:0,dc.publisher:6,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:1,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:42,dc.title.alternative:0,dc.title:13,dc.type.material:0,dc.type:13,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Educational Resources, Center for - Reports",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:15,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:4,dc.date.available:4,dc.date.copyright:0,dc.date.created:0,dc.date.issued:4,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:3,dc.description.disclaimer:0,dc.description.provenance:9,dc.description.sponsorship:2,dc.description.uri:0,dc.description:1,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:2,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:4,dc.identifier:0,dc.language.iso:4,dc.publisher.country:0,dc.publisher:4,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:1,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:25,dc.title.alternative:0,dc.title:4,dc.type.material:0,dc.type:4,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Electrical and Computer Engineering, Dept. of - Technical Reports",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:7,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:3,dc.date.available:3,dc.date.copyright:0,dc.date.created:0,dc.date.issued:3,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:3,dc.description.disclaimer:0,dc.description.provenance:9,dc.description.sponsorship:2,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:3,dc.identifier:0,dc.language.iso:2,dc.publisher.country:0,dc.publisher:3,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:9,dc.title.alternative:0,dc.title:3,dc.type.material:0,dc.type:3,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Gastroenterology and Hepatology, Division of - Faculty Research",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:1,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1,dc.date.available:1,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:2,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:2,dc.subject.other:0,dc.subject:1,dc.title.alternative:0,dc.title:1,dc.type.material:0,dc.type:1,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
